WA,8
FL,62
WY,6
PR,14
NJ,2
NM,5
TX,14
LA,11
NC,265
ND,22
NY,108
PA,45
AK,3
VA,7
CO,11
CA,96
AL,104
AR,98
IL,159
GA,50
IN,35
IA,23
MA,6
AZ,21
ID,4
CT,11
ME,1
MD,8
OK,8
OH,4
UT,2
MO,26
MN,2
MI,3
KS,28
MT,1
SC,6
KY,24
